Variables,Time,Param_means,Param_vars,Param_sd
NN,Day,1.6901898734177216,19.983263021043296,4.470264312212791
NN,Night,1.7378125000000002,9.523169398584907,3.0859632853591936
percent_sgd,Day,2.0288440410126585,14.725052672876336,3.837323634107024
percent_sgd,Night,1.9447930090562502,12.452425599331523,3.528799455810931
pH,Day,8.100474683544304,0.00838426368620494,0.09156562502492373
pH,Night,7.9700295160125,0.002189202267619969,0.04678891180204952
Phosphate,Day,0.1649367088607595,0.016348722083366907,0.12786212137833045
Phosphate,Night,0.1670625,0.010903895440251568,0.10442171919793108
Salinity,Day,34.01692522696202,1.667862757130684,1.2914576094981531
Salinity,Night,34.0455779405,1.4285809217636496,1.195232580615024
Silicate,Day,15.907721518987342,900.4859119729103,30.00809744007291
Silicate,Night,15.2381875,753.264343235063,27.445661646880787
TA,Day,2255.2177021518987,1580.9812958411153,39.7615555007738
TA,Night,2268.52824681875,1671.8392272253975,40.88813063989839
Temp_in,Day,26.054424138227848,1.7835398344453373,1.335492356565674
Temp_in,Night,25.0250273631875,1.304026395514294,1.141939751262865
